iter	Passed	Remaining
0	0	264
1	0	278
2	0	274
3	1	287
4	1	292
5	1	311
6	2	309
7	2	307
8	2	302
9	2	295
10	3	288
11	3	283
12	3	279
13	3	276
14	4	273
15	4	274
16	4	271
17	4	269
18	5	268
19	5	272
20	5	270
21	6	269
22	6	261
23	6	259
24	6	258
25	6	257
26	7	256
27	7	275
28	8	274
29	8	273
30	8	267
31	8	269
32	9	265
33	9	269
34	9	269
35	9	266
36	10	266
37	10	265
38	10	263
39	10	262
40	11	261
41	11	260
42	11	259
43	11	258
44	12	257
45	12	256
46	12	255
47	12	255
48	13	254
49	13	253
50	13	253
51	13	252
52	14	251
53	14	250
54	14	250
55	14	249
56	15	248
57	15	248
58	15	248
59	15	247
60	16	247
61	16	248
62	16	248
63	16	248
64	17	247
65	17	247
66	17	246
67	17	246
68	18	245
69	18	245
70	18	244
71	18	244
72	19	244
73	19	243
74	19	243
75	19	242
76	20	242
77	20	241
78	20	241
79	20	240
80	21	240
81	21	239
82	21	239
83	21	238
84	22	238
85	22	237
86	22	237
87	22	237
88	23	237
89	23	237
90	23	237
91	24	237
92	24	237
93	24	237
94	24	237
95	25	236
96	25	237
97	25	236
98	25	236
99	26	235
100	26	235
101	26	234
102	26	234
103	27	233
104	27	233
105	27	233
106	27	232
107	28	232
108	28	232
109	28	232
110	28	231
111	29	231
112	29	231
113	29	230
114	29	230
115	30	229
116	30	229
117	30	229
118	30	229
119	31	228
120	31	228
121	31	228
122	32	228
123	32	228
124	32	228
125	32	228
126	33	227
127	33	227
128	33	226
129	33	226
130	34	226
131	34	226
132	34	225
133	34	225
134	35	225
135	35	224
136	35	224
137	35	224
138	36	223
139	36	223
140	36	222
141	36	222
142	37	222
143	37	221
144	37	221
145	37	221
146	38	220
147	38	220
148	38	220
149	38	219
150	39	219
151	39	219
152	39	219
153	39	219
154	40	219
155	40	219
156	40	219
157	41	219
158	41	218
159	41	218
160	41	217
161	42	217
162	42	217
163	42	217
164	42	216
165	43	216
166	43	216
167	43	215
168	43	215
169	44	214
170	44	214
171	44	214
172	44	213
173	45	213
174	45	213
175	45	213
176	45	212
177	45	212
178	46	211
179	46	211
180	46	210
181	46	210
182	47	210
183	47	209
184	47	209
185	47	209
186	48	209
187	48	209
188	48	208
189	48	208
190	49	208
191	49	208
192	49	208
193	50	207
194	50	207
195	50	207
196	50	206
197	50	206
198	51	206
199	51	205
200	51	205
201	51	205
202	52	204
203	52	204
204	52	204
205	52	203
206	53	203
207	53	203
208	53	202
209	53	202
210	54	202
211	54	201
212	54	201
213	54	201
214	55	201
215	55	201
216	55	201
217	56	200
218	56	200
219	56	200
220	56	200
221	57	199
222	57	199
223	57	199
224	57	198
225	58	198
226	58	198
227	58	198
228	58	198
229	59	197
230	59	197
231	59	197
232	59	196
233	60	196
234	60	196
235	60	196
236	60	196
237	61	195
238	61	195
239	61	195
240	61	194
241	62	194
242	62	194
243	62	194
244	62	193
245	63	193
246	63	193
247	63	193
248	64	193
249	64	193
250	64	193
251	65	193
252	65	193
253	65	193
254	66	192
255	66	192
256	66	192
257	66	192
258	67	192
259	67	191
260	67	191
261	67	191
262	68	190
263	68	190
264	68	190
265	68	189
266	69	189
267	69	189
268	69	189
269	69	188
270	70	188
271	70	188
272	70	188
273	70	187
274	71	187
275	71	187
276	71	186
277	71	186
278	72	186
279	72	186
280	72	185
281	72	185
282	73	185
283	73	185
284	73	185
285	74	185
286	74	184
287	74	184
288	74	184
289	75	184
290	75	184
291	75	183
292	76	183
293	76	183
294	76	183
295	77	183
296	77	182
297	77	182
298	77	182
299	78	182
300	78	182
301	78	181
302	78	181
303	79	181
304	79	180
305	79	180
306	79	180
307	80	179
308	80	179
309	80	179
310	80	178
311	81	178
312	81	178
313	81	178
314	81	177
315	82	177
316	82	177
317	82	177
318	82	176
319	83	176
320	83	176
321	83	175
322	83	175
323	83	175
324	84	174
325	84	174
326	84	174
327	84	174
328	85	173
329	85	173
330	85	173
331	85	172
332	86	172
333	86	172
334	86	171
335	86	171
336	87	171
337	87	171
338	87	171
339	88	170
340	88	170
341	88	170
342	88	170
343	89	169
344	89	169
345	89	169
346	89	169
347	90	168
348	90	168
349	90	168
350	90	167
351	91	167
352	91	167
353	91	167
354	91	166
355	92	166
356	92	166
357	92	165
358	92	165
359	93	165
360	93	165
361	93	165
362	94	166
363	95	166
364	95	166
365	95	165
366	96	165
367	96	165
368	96	165
369	96	164
370	97	164
371	97	164
372	97	164
373	98	164
374	98	163
375	98	163
376	98	163
377	99	163
378	99	163
379	99	162
380	100	162
381	100	162
382	100	162
383	101	162
384	101	161
385	101	161
386	101	161
387	102	161
388	102	161
389	102	160
390	103	160
391	103	160
392	103	159
393	103	159
394	104	159
395	104	159
396	104	159
397	105	158
398	105	158
399	105	158
400	106	158
401	106	158
402	106	157
403	106	157
404	107	157
405	107	157
406	107	157
407	108	156
408	108	156
409	108	156
410	109	156
411	109	156
412	109	155
413	109	155
414	110	155
415	110	155
416	110	154
417	110	154
418	111	154
419	111	153
420	111	153
421	112	153
422	112	153
423	112	152
424	112	152
425	112	152
426	113	151
427	113	151
428	113	151
429	113	151
430	114	150
431	114	150
432	114	150
433	114	149
434	115	149
435	115	149
436	115	148
437	115	148
438	116	148
439	116	148
440	116	147
441	116	147
442	117	147
443	117	147
444	117	146
445	118	146
446	118	146
447	118	146
448	118	146
449	119	145
450	119	145
451	119	145
452	120	144
453	120	144
454	120	144
455	120	144
456	121	143
457	121	143
458	121	143
459	121	142
460	122	142
461	122	142
462	122	142
463	122	141
464	122	141
465	123	141
466	123	140
467	123	140
468	123	140
469	124	140
470	124	139
471	124	139
472	124	139
473	125	138
474	125	138
475	126	139
476	126	138
477	126	138
478	127	138
479	127	138
480	127	137
481	127	137
482	128	137
483	128	136
484	128	136
485	128	136
486	129	135
487	129	135
488	129	135
489	129	135
490	129	134
491	130	134
492	130	134
493	130	133
494	130	133
495	131	133
496	131	132
497	131	132
498	131	132
499	132	132
500	132	131
501	132	131
502	132	131
503	133	131
504	133	130
505	133	130
506	134	130
507	134	130
508	134	129
509	134	129
510	135	129
511	135	129
512	135	128
513	135	128
514	136	128
515	136	127
516	136	127
517	136	127
518	137	127
519	137	126
520	137	126
521	137	126
522	138	125
523	138	125
524	138	125
525	138	125
526	139	124
527	139	124
528	139	124
529	139	124
530	140	123
531	140	123
532	140	123
533	140	123
534	141	122
535	141	122
536	141	122
537	142	121
538	142	121
539	142	121
540	142	121
541	143	120
542	143	120
543	143	120
544	143	120
545	144	119
546	144	119
547	144	119
548	144	118
549	144	118
550	145	118
551	145	118
552	145	117
553	145	117
554	146	117
555	146	116
556	146	116
557	146	116
558	147	116
559	147	115
560	147	115
561	147	115
562	148	115
563	148	114
564	148	114
565	148	114
566	149	113
567	149	113
568	149	113
569	150	113
570	150	112
571	150	112
572	150	112
573	151	112
574	151	111
575	151	111
576	151	111
577	152	111
578	152	110
579	152	110
580	152	110
581	153	109
582	153	109
583	153	109
584	153	109
585	153	108
586	154	108
587	154	108
588	154	108
589	155	107
590	155	107
591	155	107
592	155	106
593	155	106
594	156	106
595	156	106
596	156	105
597	157	105
598	157	105
599	157	105
600	157	104
601	158	104
602	158	104
603	158	104
604	159	104
605	159	103
606	159	103
607	160	103
608	160	102
609	160	102
610	160	102
611	161	102
612	161	101
613	161	101
614	161	101
615	162	101
616	162	100
617	162	100
618	162	100
619	163	99
620	163	99
621	163	99
622	163	99
623	164	98
624	164	98
625	164	98
626	164	98
627	165	97
628	165	97
629	165	97
630	166	97
631	166	96
632	166	96
633	166	96
634	167	96
635	167	95
636	167	95
637	167	95
638	167	94
639	168	94
640	168	94
641	168	94
642	168	93
643	169	93
644	169	93
645	169	93
646	170	92
647	170	92
648	170	92
649	170	91
650	170	91
651	171	91
652	171	91
653	171	90
654	171	90
655	172	90
656	172	90
657	172	89
658	172	89
659	173	89
660	173	88
661	173	88
662	173	88
663	174	88
664	174	87
665	174	87
666	174	87
667	175	87
668	175	86
669	175	86
670	175	86
671	176	86
672	176	85
673	176	85
674	176	85
675	177	84
676	177	84
677	177	84
678	177	84
679	178	83
680	178	83
681	178	83
682	178	83
683	179	82
684	179	82
685	179	82
686	179	81
687	180	81
688	180	81
689	180	81
690	180	80
691	181	80
692	181	80
693	181	80
694	181	79
695	182	79
696	182	79
697	182	79
698	183	78
699	183	78
700	183	78
701	183	78
702	184	77
703	184	77
704	184	77
705	185	77
706	185	76
707	185	76
708	185	76
709	186	75
710	186	75
711	186	75
712	186	75
713	186	74
714	187	74
715	187	74
716	187	74
717	187	73
718	188	73
719	188	73
720	188	73
721	188	72
722	189	72
723	190	72
724	190	72
725	190	71
726	190	71
727	191	71
728	191	71
729	191	70
730	191	70
731	192	70
732	192	70
733	192	69
734	192	69
735	193	69
736	193	69
737	193	68
738	193	68
739	194	68
